pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
65 <pt<100 	4<chiso range<12 	41.8775	4.60203	31.3753	3.74706	31.7386	0.508191	0.0598074
65 <pt<100 	4<chiso range<13 	41.8775	4.60203	31.3753	3.79696	31.6603	0.474207	0.046913
65 <pt<100 	5<chiso range<10 	41.8775	4.60203	31.3753	4.36139	30.9554	0.125645	0.0686173
65 <pt<100 	5<chiso range<11 	41.8775	4.60203	31.3753	4.54776	30.8618	0.0268315	0.0831722
65 <pt<100 	5<chiso range<12 	41.8775	4.60203	31.3753	3.58387	31.8746	0.634581	0.0825594
65 <pt<100 	5<chiso range<13 	41.8775	4.60203	31.3753	3.65771	31.7738	0.578979	0.0658533
65 <pt<100 	6<chiso range<11 	41.8775	4.60203	31.3753	4.44237	31.1219	0.079024	0.0408943
65 <pt<100 	6<chiso range<12 	41.8775	4.60203	31.3753	3.35501	32.2261	0.815275	0.140824
65 <pt<100 	6<chiso range<13 	41.8775	4.60203	31.3753	3.47287	32.0397	0.718743	0.109927
65 <pt<100 	7<chiso range<12 	41.8775	4.60203	31.3753	3.35782	32.2552	0.808201	0.145422
65 <pt<100 	7<chiso range<13 	41.8775	4.60203	31.3753	3.50272	32.0243	0.69196	0.1072
65 <pt<100 	8<chiso range<13 	41.8775	4.60203	31.3753	3.34517	32.237	0.824738	0.14271
#######################################################################################
100 <pt<400 	3<chiso range<8 	22.8346	1.47593	19.1264	1.23623	19.2659	0.264195	0.0319777
100 <pt<400 	3<chiso range<9 	22.8346	1.47593	19.1264	1.11883	19.3913	0.432916	0.0610394
100 <pt<400 	3<chiso range<10 	22.8346	1.47593	19.1264	0.842584	19.5881	1.02999	0.108291
100 <pt<400 	3<chiso range<11 	22.8346	1.47593	19.1264	0.904027	19.5707	0.869344	0.103504
100 <pt<400 	3<chiso range<12 	22.8346	1.47593	19.1264	0.862279	19.6076	0.980306	0.112312
100 <pt<400 	3<chiso range<13 	22.8346	1.47593	19.1264	0.976001	19.4903	0.704226	0.0845489
100 <pt<400 	4<chiso range<9 	22.8346	1.47593	19.1264	0.926682	19.5807	0.798909	0.105677
