pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
50 <pt<65 	4<chiso range<13 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	5<chiso range<10 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	5<chiso range<11 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	5<chiso range<12 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	5<chiso range<13 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	6<chiso range<11 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	6<chiso range<12 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	6<chiso range<13 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	7<chiso range<12 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	7<chiso range<13 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
50 <pt<65 	8<chiso range<13 	51.5677	7.35944	0.142714	6.95288e-310	6.95288e-310	inf
#######################################################################################
65 <pt<100 	3<chiso range<8 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	3<chiso range<9 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	3<chiso range<10 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	3<chiso range<11 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	3<chiso range<12 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	3<chiso range<13 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	4<chiso range<9 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	4<chiso range<10 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	4<chiso range<11 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	4<chiso range<12 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	4<chiso range<13 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	5<chiso range<10 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	5<chiso range<11 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	5<chiso range<12 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	5<chiso range<13 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	6<chiso range<11 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	6<chiso range<12 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	6<chiso range<13 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	7<chiso range<12 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	7<chiso range<13 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
65 <pt<100 	8<chiso range<13 	41.8775	4.60203	0.109893	6.95288e-310	6.95288e-310	inf
#######################################################################################
100 <pt<400 	3<chiso range<8 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	3<chiso range<9 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	3<chiso range<10 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	3<chiso range<11 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	3<chiso range<12 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	3<chiso range<13 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	4<chiso range<9 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
100 <pt<400 	4<chiso range<10 	22.8346	1.47593	0.0646357	6.95288e-310	6.95288e-310	inf
